Category,PCA_0,PCA_1,PCA_2,PCA_3
Contact,-2.246798051,-1.896109832,-1.039768269,-6.581741239
Contact,3.147394907,-3.074424602,1.055099838,-6.668661718
Contact,2.236686479,-2.386525437,-0.27513952,-6.090018447
Contact,3.219344171,-1.508546902,0.802509476,-5.284658224
Contact,6.694320213,-1.709368175,-0.29588595,-5.414962737
Contact,2.395805314,-1.952604747,-4.191153551,-9.540120888
Contact,4.567176718,-5.103609914,-2.369826712,-6.647590169
Contact,9.137073638,-2.571968559,-3.541236114,-5.361251077
Contact,2.792808436,-4.657993729,-5.077786193,-6.444207386
Contact,5.412129279,-3.089321139,2.354301725,-6.238842349
Contact,4.764475854,-1.525490304,0.074138654,-7.968543538
Contact,-3.279761058,-2.387077323,1.187847128,-7.504892098
Contact,-3.530871202,-2.990276337,1.545140255,-7.028691723
Contact,-6.501473476,-5.074511066,0.535102952,-3.572479691
Contact,-5.705481023,-4.036830757,-0.931856952,-8.266435214
Contact,-4.303121321,-8.206822723,4.885988563,-5.599216803
Contact,-5.834385914,-5.10126695,2.637752192,-4.354653901
Contact,-5.6653556,-1.34143712,-2.87680957,-6.110999909
Contact,-0.381602583,-5.826744511,4.03115724,-4.819469819
Contact,15.24476425,-6.423709311,2.791663177,-3.335225756
Contact,12.24239342,-6.565444757,0.282939415,-2.381686928
Contact,10.14833638,-4.901506,0.389825034,-2.545375018
Contact,10.20680848,-9.093799223,0.450224062,-2.175666238
Contact,10.94319878,-5.123986941,1.058292186,-3.163511144
Contact,9.216160116,-8.223723844,-2.501457716,-2.698003316
Contact,13.23649474,-4.050156849,3.566214977,-3.638651851
Contact,7.573289768,-6.029964263,-7.786172596,-3.44756035
Contact,12.24971397,-8.30853167,2.993256265,-2.242294296
Contact,14.33047617,-5.7852915,4.108359854,-0.947758945
Contact,13.29553435,-9.72455249,0.278435189,1.840249071
Contact,12.33159481,-8.451301769,1.096810205,-1.694003185
Contact,12.50625639,-4.430871866,5.205826063,-3.760257539
Contact,10.72393134,-5.314487992,4.520894099,-3.450804501
Contact,12.69731598,-3.420067502,2.598180963,-3.055182379
Contact,7.731361244,-3.186605097,-3.966939416,-3.699715776
Contact,12.83429871,-3.699326038,1.156447728,-0.154443349
Contact,12.59285328,-7.524037932,-2.931916928,0.555626648
Contact,13.21647531,-7.272093922,4.98164766,-0.761117231
Contact,12.3683137,-5.44924953,0.403008103,-1.955379271
Contact,13.43121199,-7.316111307,2.900489315,-2.128996731
Contact,11.59671976,-6.10348897,2.10756915,-5.633373143
Contact,9.603058094,-4.69017492,-1.467635314,-7.425162983
Contact,6.557726834,-7.527996303,-2.248789911,-2.519051548
Contact,11.60786669,-5.791693886,5.069534155,-4.506828366
Contact,7.940261047,-5.116641495,-1.403255784,-7.739598715
Contact,7.312157679,-3.830925771,-2.361291348,-9.739649449
Contact,5.30841521,-5.266171872,0.868423129,-5.312277037
Contact,-6.274646577,-6.977593949,-1.269761733,-5.406881872
Contact,-6.936521544,-6.527390485,-2.237451468,-2.863145424
