duration_scaled,frequency_change_scaled,direction_scaled
0.125,2087.67,748.197
0.133,2415.92,963.231
0.138,2520.96,827.174
0.138,2258.36,1209.929
0.151,1890.72,769.815
0.125,2494.7,986.829
0.111,1798.81,450.279
0.141,1496.82,918.218
0.127,1483.69,869.121
0.133,2429.05,839.212
0.138,1890.72,1022.847
0.138,1838.2,1073.808
0.146,1588.73,932.164
0.149,800.93,997.311
0.135,1536.21,955.285
0.127,1614.99,840.214
0.141,1720.03,946.312
0.135,2179.58,1103.412
0.141,722.15,-758.404
0.143,984.75,208.744
0.138,2888.6,1004.934
0.119,840.32,-280.236
0.119,1247.35,1042.255
0.135,1785.68,-492.862
0.135,603.98,-167.392
0.127,2836.08,819.291
0.119,2731.04,800.045
0.143,1798.81,1040.534
0.138,1313,883.818
0.135,1930.11,-617.048
0.159,2350.27,-702.183
0.143,1864.46,437.057
0.125,814.06,-328.195
0.141,2967.38,849.39
0.135,2271.49,707.738
0.143,3164.33,753.11
0.143,2258.36,917.822
0.143,748.41,-526.759
0.138,1024.14,-425.036
0.151,919.1,-350.988
0.149,1496.82,-673.768
0.117,1313,-768.047
0.135,2166.45,803.549
0.186,905.97,-735.513
0.138,1326.13,-349.391
0.133,1930.11,342.668
0.127,1509.95,-222.972
0.104,1562.47,-149.01
0.135,2429.05,-935.471
0.127,1825.07,854.907
0.127,1391.78,-326.508
0.135,1680.64,702.687
0.146,997.88,-489.058
0.151,1549.34,643.816
0.175,1549.34,-1196.292
0.188,1903.85,-990.409
0.135,1496.82,-476.211
0.151,2232.1,226.982
0.13,1693.77,-442.361
0.191,1536.21,-889.103
0.149,1194.83,-431.085
0.149,2337.14,-220.045
0.111,1181.7,-82.806
0.135,1155.44,448.712
0.08,2442.18,-127.021
0.138,1930.11,543.268
0.122,1326.13,96.822
0.141,1903.85,662.906
0.093,1943.24,-95.707
0.127,656.5,-518.355
0.146,1247.35,661.358
0.117,1063.53,-194.64
0.149,1168.57,163.427
0.141,761.54,269.475
0.125,485.81,-98.741
0.141,1260.48,368.266
0.133,2376.53,878.662
0.13,1299.87,842.529
0.141,1982.63,652.558
0.143,328.25,-514.44
0.154,1903.85,-481.209
0.175,1838.2,-834.941
0.196,1641.25,-1162.202
0.146,840.32,368.801
0.135,1273.61,911.437
0.122,2704.78,792.153
0.125,1352.39,-282.503
0.17,525.2,-522.129
0.13,1024.14,-430.503
0.117,1234.22,-451.45
0.149,1260.48,-163.187
0.135,1549.34,-353.292
0.135,695.89,-592.284
0.114,590.85,-211.695
0.141,1181.7,-270.59
0.196,682.76,-834.212
0.135,1614.99,205.296
0.186,1404.91,-1045.948
0.21,919.1,-850.46
0.127,879.71,924.015
0.117,748.41,837.637
0.13,2008.89,989.292
0.119,1457.43,952.847
0.125,1930.11,902.335
0.231,643.37,-360.379
0.119,3098.68,755.921
0.098,2074.54,722.543
0.117,2074.54,981.304
0.138,1956.37,967.459
0.149,1509.95,-731.139
0.17,1063.53,-410.919
0.093,1877.59,677.739
0.133,1142.31,535.315
0.088,1483.69,366.151
0.125,1024.14,-240.864
0.114,1431.17,772.357
0.151,722.15,-152.693
0.114,1286.74,1072.768
0.146,2612.87,586.709
0.151,275.73,763.345
0.13,1089.79,-227.796
0.149,2836.08,882.823
0.125,1378.65,-312.145
0.141,827.19,95.384
0.143,866.58,493.566
0.149,1089.79,630.921
0.165,1667.51,631.618
0.109,1221.09,243.126
0.117,800.93,817.169
0.13,827.19,888.367
0.138,2113.93,488.583
0.13,1641.25,981.74
0.162,748.41,559.244
0.125,853.45,-368.662
0.159,905.97,15.64
0.133,2113.93,940.692
0.133,2153.32,902.184
0.138,1260.48,736.075
0.125,1916.98,860.153
0.122,1299.87,935.571
0.149,971.62,496.59
0.13,1982.63,917.224
0.125,905.97,-179.552
0.143,1536.21,676.022
0.106,774.67,-386.571
0.106,1273.61,776.709
0.138,2507.83,839.801
0.125,2113.93,960.31
0.13,1720.03,1015.362
0.122,2310.88,899.561
0.135,1365.52,995.861
0.127,1706.9,1025.555
0.13,1155.44,1126.048
0.122,1916.98,886.192
0.104,1483.69,898.046
0.146,1628.12,887.936
0.127,2573.48,1065.553
0.104,2665.39,627.021
0.138,2389.66,929.94
0.135,1654.38,980.135
0.138,2468.44,983.097
0.143,1483.69,1088.171
0.133,2337.14,1007.128
0.122,1523.08,863.993
0.133,2166.45,911.842
0.143,1811.94,911.504
0.138,2415.92,759.139
0.13,2468.44,1018.514
0.13,1299.87,934.826
0.149,1168.57,1012.439
0.125,2914.86,688.024
0.13,1890.72,917.228
0.122,1313,813.066
0.135,748.41,-205.96
0.135,1102.92,1017.814
0.154,1207.96,-393.442
0.135,2153.32,812.434
0.133,1286.74,-814.896
0.133,1378.65,858.641
0.138,2087.67,982.619
0.088,1562.47,596.319
0.141,1326.13,-31.861
0.138,1536.21,856.963
0.133,2284.62,1135.113
0.109,1011.01,807.148
0.138,2022.02,1085.886
0.125,971.62,725.945
0.119,603.98,1049.865
0.13,1654.38,1042.571
0.119,1575.6,1070.352
0.114,2166.45,1073.613
0.133,2271.49,1018.055
0.13,1313,895.137
0.125,2087.67,894.089
0.151,1181.7,861.34
0.151,2875.47,660.657
0.135,905.97,979.584
0.143,2678.52,675.318
0.133,1024.14,1038.871
0.127,2205.84,892.599
0.13,1391.78,973.893
0.143,2087.67,941.834
0.149,1207.96,1094.9
0.122,1811.94,837.456
0.149,1864.46,1008.53
0.122,840.32,898.046
