N,category,duration,minimum,maximum,frequency_range,direction,centroid,mel,tonnetz,zerocross
6907,3,0.513741496,3045.068359,7219.433593,4174.365234,-40.98894846,5505.115203,-828.8193571,0.181940568,0.294487848
6908,3,0.375112839,3024.902343,7058.105469,4033.203126,-106.489073,5019.950763,-1059.802765,-0.202986282,0.234126984
6909,3,0.483841197,3105.566407,6856.445312,3750.878907,-213.025308,5705.411606,-820.9549006,0.059566357,0.28717138
6910,3,0.519177915,3004.736328,7219.433593,4214.697266,202.6992492,5610.539289,-831.4917575,-0.183309149,0.306377109
6911,3,0.342494331,3004.736328,7965.576172,4960.839843,-704.5360991,5433.104249,-837.3283746,0.034268449,0.245101687
6912,3,0.415885973,3045.068359,7360.595703,4315.527343,-220.5935583,5435.801907,-992.2777333,0.008258374,0.266136533
6913,3,0.078828061,2944.238281,6594.287109,3650.048828,-798.5312792,4812.879006,-786.5304984,0.463482472,0.194800967
6914,3,0.421322392,3105.566407,6916.943359,3811.376953,-264.7656476,5165.828158,-929.2191889,-0.376570967,0.244187128
6915,3,0.405013138,3024.902343,7138.769531,4113.867188,-26.86445146,5430.652653,-1037.401233,-0.165943696,0.265221975
6916,3,0.309875824,3045.068359,6533.789062,3488.720703,54.33257881,5016.855816,-778.9426489,-0.015112738,0.252418155
6917,3,0.500150451,3024.902343,7017.773438,3992.871093,-588.9670726,5617.986546,-794.525579,-0.099920033,0.276196678
6918,3,0.50558687,2883.740234,7723.583984,4839.84375,-385.368975,5414.468112,-772.949073,-0.180562645,0.255161831
6919,3,0.055802024,1259.003087,3047.268619,1788.265531,3.438721339,1922.779488,-364.8612563,-0.010374322,0.084009912
6920,3,0.069043182,1539.672565,3728.894495,2189.221929,-10.20205404,2295.281424,-285.1637786,-0.104082729,0.092738215
6921,3,0.067151588,1218.907448,3392.091121,2173.183673,-334.4750852,2456.420582,-344.4075672,-0.008915644,0.117468405
6922,3,0.056815378,1483.53867,3857.200542,2373.661872,-147.862849,2384.476359,-274.5163853,-0.077088375,0.103648592
6923,3,0.077082456,1363.251751,3119.440771,1756.18902,-92.56393916,2201.587516,-352.367727,-0.103029918,0.10473963
6924,3,0.074717964,1387.309134,4009.563972,2622.254838,-190.9162124,2377.783183,-276.2894774,0.123893216,0.100739158
6925,3,0.069988979,1275.041343,3368.033737,2092.992394,20.19097728,2192.577275,-386.5589877,0.120358364,0.097829724
6926,3,0.057761174,1202.869191,3568.511935,2365.642744,56.22755254,2104.817658,-340.3106072,-0.042342053,0.085464629
6927,3,0.076609558,1355.232623,3392.091121,2036.858498,-63.11038125,2241.334571,-370.2597733,0.061705147,0.102193875
6928,3,0.074717964,1339.194367,2726.503501,1387.309134,-2.096758579,2159.81892,-327.71658,-0.106987252,0.101102838
6929,3,0.046614281,1499.576926,3720.875366,2221.298441,2.145389553,2185.461091,-443.2587858,-0.33963669,0.091283497
6930,3,0.070461878,1291.079599,3047.268619,1756.18902,33.89069833,2161.362805,-274.5196625,-0.065746095,0.102193875
6931,1,0.070934776,1210.88832,2935.000828,1724.112508,-83.00932315,2088.749005,-332.9196203,-0.212110086,0.096011328
6932,1,0.049181445,1242.964831,2654.33135,1411.366518,323.799008,2057.640469,-313.5867514,-0.023328732,0.101102838
6933,1,0.08208167,1483.53867,2654.33135,1170.79268,-31.2962698,2172.719242,-401.6528455,0.059893092,0.099284441
6934,1,0.075866432,1395.328262,2782.637397,1387.309134,-38.6648806,2151.131292,-351.1998419,0.036613018,0.099648121
6935,1,0.062219932,1475.519542,2694.426989,1218.907448,129.0846521,2172.804396,-349.6716227,0.074922271,0.100739158
6936,1,0.067151588,1234.945704,3488.320656,2253.374952,-42.28763351,2179.322888,-293.979865,0.02658202,0.098193404
6937,1,0.085054174,1218.907448,2806.694781,1587.787333,2.423671287,2095.943567,-346.9920236,-0.047618302,0.093829253
6938,1,0.08228434,1162.773552,3039.249491,1876.475939,7.677419012,2089.189128,-294.5983967,0.047974929,0.098193404
6939,1,0.067151588,1395.328262,2718.484373,1323.156111,120.2521813,2104.305857,-349.319921,0.006813216,0.096375007
6940,1,0.087959122,1250.98396,2726.503501,1475.519542,21.40319815,2169.613436,-342.1545014,-0.014935684,0.104375951
6941,1,0.073772167,1275.041343,2694.426989,1419.385647,167.3750093,1923.571748,-407.171747,0.073504415,0.08510095
6942,1,0.070461878,1491.557798,3055.287747,1563.729949,-218.7881637,2420.054594,-385.6771266,0.008776868,0.11019482
6943,1,0.085121731,1186.830936,2742.541757,1555.710821,41.15069927,2065.846061,-322.5570369,-0.040831536,0.098557083
6944,1,0.053505088,1194.850064,2999.153851,1804.303788,50.52792212,2046.447017,-324.7009203,0.038398968,0.096738687
6945,1,0.072353471,1242.964831,2718.484373,1475.519542,-77.68831524,2106.870129,-402.8658216,-0.012262002,0.098193404
6946,1,0.08228434,1242.964831,2469.891407,1226.926575,24.55466313,2121.445,-284.8641767,-0.052270659,0.1000118
6947,1,0.085121731,1226.926575,2582.159198,1355.232623,172.0158441,2132.662556,-334.7496311,0.014751079,0.103284913
6948,1,0.064314197,1226.926575,3159.53641,1932.609835,-230.0759569,2434.933352,-305.847109,-0.117668754,0.110922178
6949,1,0.084175934,1435.423902,2421.776639,986.3527371,-4.637139224,2178.024141,-376.9570543,-0.053161998,0.101466517
6950,1,0.092688107,1555.710821,2445.834023,890.1232015,18.8695643,2146.286111,-329.7003951,0.07827372,0.101830196
6951,3,0.092688107,1403.34739,2702.446118,1299.098727,-46.43572491,2176.126994,-340.4823541,-0.02951339,0.097466045
6952,1,0.060531009,1387.309134,2822.733037,1435.423902,84.32383928,2103.59343,-417.9205468,0.016877125,0.096738687
