id,duration,minimum,maximum,frequency_change,direction,pca,category,sex,mean_duration,mean_frequency,mean_change,mean_pca,,
348,0.11569161,1238.15918,3122.314453,1884.155273,350.3428471,-0.80075,N,F,,,,,,
348,0.07968254,958.2275391,3391.479492,2433.251953,142.131559,-0.61743,N,F,,,,,,
348,0.077346939,1238.15918,4780.371094,3542.211914,642.3197878,-1.1647,N,F,,,,,,
348,0.056235828,979.7607422,3617.578125,2637.817383,-211.0163647,-0.19174,N,F,,,,,,
348,0.042176871,1098.193359,3962.109375,2863.916016,10.05488658,-0.59212,N,F,,,,,,
348,0.074988662,1313.525391,3445.3125,2131.787109,-30.08831653,-0.45171,N,F,,,,,,
348,0.093741497,1313.525391,4102.075195,2788.549805,-49.10379891,-0.12997,N,F,,,,,,
348,0.068571429,1001.293945,3865.209961,2863.916016,411.5419369,-1.02446,N,F,,,,,,
348,0.065759637,1216.625977,3283.813477,2067.1875,-53.33594189,-0.4993,N,F,,,,,,
348,0.102879819,1367.358398,3229.980469,1862.62207,-42.16880849,-0.28561,N,F,,,,,,
348,0.09845805,1238.15918,3606.811523,2368.652344,602.5136032,-1.21424,N,F,,,,,,
348,0.058866213,1087.426758,3154.614258,2067.1875,27.11981036,-0.67729,N,F,,,,,,
348,0.060929705,1270.458984,3466.845703,2196.386719,-165.3133151,-0.32997,N,F,,,,,,
348,0.079818594,1744.189453,3100.78125,1356.591797,269.9220928,-1.06502,N,F,,,,,,
348,0.051564626,1464.257813,3133.081055,1668.823242,62.82764175,-0.87985,N,F,,,,,,
348,0.049455782,904.3945313,3208.447266,2304.052734,125.027342,-0.84699,N,F,,,,,,
348,0.074013605,1388.891602,3316.113281,1927.22168,87.19357166,-0.69025,N,F,,,,,,
348,0.049206349,1356.591797,3143.847656,1787.255859,-126.274935,-0.5734,N,F,,,,,,
348,0.05260771,1216.625977,3143.847656,1927.22168,-107.7348962,-0.54476,N,F,,,,,,
348,0.075011338,1485.791016,3499.145508,2013.354492,-94.8447064,-0.37717,N,F,,,,,,
348,0.036870748,990.5273438,3111.547852,2121.020508,-67.17553197,-0.68179,N,F,,,,,,
348,0.072653061,1195.092773,3380.712891,2185.620117,-214.0187862,-0.16809,N,F,,,,,,
348,0.053197279,1173.55957,3025.415039,1851.855469,-150.5651346,-0.49047,N,F,,,,,,
348,0.051156463,1970.288086,3542.211914,1571.923828,204.6909439,-1.12793,N,F,,,,,,
348,0.077346939,1399.658203,3262.280273,1862.62207,132.469429,-0.75121,N,F,,,,,,
348,0.072653061,1195.092773,3822.143555,2627.050781,-602.2750734,0.54308,N,F,,,,,,
348,0.091405896,1065.893555,3746.777344,2680.883789,415.6878777,-0.90191,N,F,,,,,,
348,0.105464853,1410.424805,3068.481445,1658.056641,-98.73287896,-0.22456,N,F,,,,,,
348,0.049342404,2497.851563,5038.769531,2540.917969,196.7696441,-0.9059,N,F,,,,,,
348,0.07031746,1281.225586,3380.712891,2099.487305,-17.86166497,-0.51337,N,F,,,,,,
348,0.117188209,1001.293945,3671.411133,2670.117188,-102.8786279,0.10298,N,F,,,,,,
348,0.06893424,1291.992188,3563.745117,2271.75293,-308.8869426,-0.02721,N,F,,,,,,
348,0.059274376,1238.15918,3337.646484,2099.487305,-89.23532068,-0.48413,N,F,,,,,,
348,0.105170068,968.9941406,4457.373047,3488.378906,-579.995042,0.95033,N,F,,,,,,
348,0.053333333,2368.652344,3531.445313,1162.792969,-269.2762744,-0.46181,N,F,,,,,,
348,0.067845805,1248.925781,3929.80957,2680.883789,-351.3834138,0.12558,N,F,,,,,,
348,0.112539683,1625.756836,4478.90625,2853.149414,-696.8198497,1.04266,N,F,,,,,,
348,0.065623583,1335.058594,4155.908203,2820.849609,-264.0793652,0.00411,N,F,,,,,,
348,0.107823129,979.7607422,4478.90625,3499.145508,-210.1560088,0.39212,N,F,,,,,,
348,0.067959184,1087.426758,3423.779297,2336.352539,33.60681889,-0.55729,N,F,,,,,,
348,0.080340136,1130.493164,4188.208008,3057.714844,463.5565898,-0.97323,N,F,,,,,,
348,0.07031746,936.6943359,3434.545898,2497.851563,710.1642042,-1.56447,N,F,,,,,,
348,0.070113379,1098.193359,3746.777344,2648.583984,-72.7602389,-0.30224,N,F,,,,,,
348,0.074988662,1248.925781,3316.113281,2067.1875,-254.0324961,-0.11504,N,F,,,,,,
348,0.060589569,1173.55957,3273.046875,2099.487305,-108.3441727,-0.44428,N,F,,,,,,
348,0.072199546,1722.65625,3563.745117,1841.088867,-349.912202,-0.03753,N,F,,,,,,
348,0.079931973,2304.052734,3886.743164,1582.69043,-405.2306087,0.04777,N,F,,,,,,
348,0.089070295,1367.358398,3800.610352,2433.251953,-359.6944131,0.24073,N,F,,,,,,
348,0.182811791,1238.15918,4758.837891,3520.678711,-640.2062185,1.63447,N,F,,,,,,
348,0.058594104,1130.493164,2960.81543,1830.322266,14.0830628,-0.71343,N,F,,,,,,
348,0.075011338,1227.392578,3531.445313,2304.052734,469.0369749,-1.19539,N,F,,,,,,
348,0.15,1152.026367,4823.4375,3671.411133,-855.6415027,1.76135,N,F,,,,,,
348,0.22031746,1173.55957,5049.536133,3875.976563,-603.1232702,1.93933,N,F,,,,,,
348,0.194535147,1248.925781,4920.336914,3671.411133,-408.2812662,1.39302,N,F,,,,,,
348,0.064217687,1604.223633,3843.676758,2239.453125,-332.1897867,-0.03344,N,F,,,,,,
348,0.070816327,1518.09082,3951.342773,2433.251953,-181.1887738,-0.17636,N,F,,,,,,
348,0.046077098,1238.15918,2971.582031,1733.422852,28.60182998,-0.85239,N,F,,,,,,
348,0.074988662,1270.458984,3951.342773,2680.883789,-307.2680705,0.10989,N,F,,,,,,
348,0.070272109,1173.55957,3757.543945,2583.984375,-64.16449498,-0.32943,N,F,,,,,,
348,0.096099773,1647.290039,4360.473633,2713.183594,-550.7017156,0.65777,N,F,,,,,,
348,0.071133787,1270.458984,3369.946289,2099.487305,-66.87923705,-0.4303,N,F,,,,,,
348,0.085895692,1582.69043,4037.475586,2454.785156,-470.4677558,0.39578,N,F,,,,,,
348,0.059138322,1345.825195,3466.845703,2121.020508,-267.4128717,-0.20049,N,F,,,,,,
348,0.07968254,1141.259766,4048.242188,2906.982422,-330.6827799,0.23392,N,F,,,,,,
348,0.114829932,2982.348633,5049.536133,2067.1875,-1071.999397,1.46775,N,F,,,,,,
348,0.132789116,990.5273438,5017.236328,4026.708984,-705.1425705,1.47788,N,F,,,,,,
348,0.107800454,1259.692383,4166.674805,2906.982422,-441.1849769,0.61822,N,F,,,,,,
348,0.076802721,1453.491211,4037.475586,2583.984375,-376.4594659,0.20979,N,F,,,,,,
