category,duration,change,direction
pleasure,0.14,1227.39,-166.82
pleasure,0.15,1022.83,171.12
pleasure,0.18,1399.66,-48.49
pleasure,0.15,1528.86,65.81
pleasure,0.13,1216.63,385.57
pleasure,0.18,1399.66,199.66
pleasure,0.16,1248.93,383.05
pleasure,0.2,1571.92,30.41
pleasure,0.16,1270.46,164.32
pleasure,0.14,1259.69,380.78
pleasure,0.16,1291.99,296.45
pleasure,0.18,1216.63,169.18
contact,0.27,1776.49,-227.34
contact,0.18,1668.82,-29.41
contact,0.17,1690.36,-298.03
contact,0.14,1722.66,-37.66
contact,0.24,1819.56,-293.51
contact,0.2,1733.42,-87.67
contact,0.26,1819.56,-39.34
contact,0.23,1981.05,-334.39
contact,0.25,1970.29,31.79
contact,0.23,1808.79,-122.13
pleasure,0.15,1442.72,75.17
pleasure,0.14,1475.02,147.69
pleasure,0.2,1378.13,313.56
pleasure,0.18,1744.19,152.29
pleasure,0.18,1722.66,42.63
pleasure,0.21,1141.26,215.72
pleasure,0.16,1625.76,-182.02
pleasure,0.19,1701.12,-2.02
pleasure,0.17,1378.13,110.54
pleasure,0.14,1431.96,276.77
pleasure,0.14,1248.93,44.6
pleasure,0.15,1528.86,139.56
pleasure,0.17,1152.03,107.7
pleasure,0.14,1711.89,288.73
pleasure,0.18,1356.59,202.17
pleasure,0.18,1485.79,104.71
pleasure,0.14,1561.16,193.74
pleasure,0.16,1507.32,101.85
pleasure,0.19,1345.83,139.7
pleasure,0.15,1302.76,228.19
pleasure,0.23,1528.86,217.01
pleasure,0.18,1485.79,-57.88
pleasure,0.22,1431.96,101.46
pleasure,0.15,1421.19,224.59
pleasure,0.19,1431.96,-67.8
pleasure,0.17,1679.59,17.61
pleasure,0.13,1399.66,305
pleasure,0.18,1561.16,198.56
pleasure,0.16,2024.12,226.47
pleasure,0.2,1625.76,91.99
